,sigma1_crev_clean,sigma2_crev_clean
697,256092.25427811363,160164.09209189293
698,252114.85226394734,150506.05901427116
699,246083.10236073195,137404.10910829317
700,237914.86465118287,120425.98729819412
701,227259.78698762128,98516.3419164354
702,213359.73210048035,70130.6777365197
703,194770.333632324,33798.49592029926
704,170406.93603675492,-9204.851900876762
705,142600.83762951934,-52346.83557330501
706,117385.04352019596,-88149.63484072746
707,99192.42166389892,-114083.89066940115
708,88465.82507550578,-131635.00828771642
709,83642.97996058616,-143036.07476264867
710,82978.44981414377,-149667.41757662207
711,84308.12902284108,-153310.98021797714
712,86725.18722474846,-154500.05618045403
713,89853.39796428126,-153422.46237168318
714,92653.71802627028,-151032.04939346918
715,93781.65897558379,-148326.56978190853
716,91799.94377266995,-146503.8634637696
717,85621.8181966333,-146425.00956692942
718,76007.9085945292,-147854.89753305423
719,62950.90437671846,-150773.43418308505
720,46840.32115178634,-154743.8213796247
721,28675.38660537397,-158883.3671358489
722,98044.60397718486,-72617.43619017993
723,131932.5895069465,-40385.27364008976
724,156614.64538948028,-15743.28399507243
725,174629.65462963475,2028.4452854460542
726,187760.6518728094,14048.318510058976
727,197366.61135534954,21964.930968776156
728,203932.97814415014,26717.92932126083
729,207892.96620548124,29382.808067176404
730,210095.68150822422,31559.009199310836
731,210825.03803519707,33442.316540128566
732,210438.35108774196,35570.756832816885
733,208727.48002737926,37264.100631081645
734,205692.30948512035,38447.17655065004
735,201518.34936272417,39116.72472221815
736,196049.48042770522,38767.10003245571
737,189018.52422650933,36465.57782021169
738,179737.21078997556,30404.736518840014
739,168247.3093587022,20846.27570650194
740,153752.127248008,6630.710242231871
741,135052.4663944832,-13062.776546607107
742,110225.85811855542,-38860.871022469226
743,79563.49158551975,-67144.93650436259
