,sigma1_nocrev_clean,sigma2_nocrev_clean
565,-55663.79898915006,-193977.50532716504
566,-66425.94385824335,-212165.30724764912
567,-72450.02703845747,-227034.05119772605
568,-74894.56581384678,-238750.5475483031
569,-73979.76055133172,-247050.6004223731
570,-69352.39696570559,-251450.0945444881
571,-60506.95398833555,-251537.84069359943
572,-47105.553306668546,-247062.67292022402
573,-29000.875991376757,-237878.0896786012
574,-6360.974370783515,-223973.08548289034
575,20548.51596172183,-205137.8681855498
576,50904.00998343626,-181215.49435841848
577,91757.59459288315,-84682.48395834673
578,82928.03958752766,-87105.21546610584
579,76644.64332191004,-87384.06738193518
580,73145.6139339491,-85604.56676187426
581,74756.4583739277,-80260.9614309488
582,79966.24300964926,-73147.09875277868
583,77230.18477221519,-96211.51592088929
584,80282.89513126673,-90936.02067718044
585,157088.37753792907,54395.317117817496
586,-21960.08975055367,-174582.07544380793
587,-42893.0796134486,-197858.65807044663
588,-56550.85834150418,-216654.37574125914
589,-64751.620417450045,-231759.16105424555
590,-68729.3769013427,-243496.7428207475
591,-68959.92437759216,-251727.116460321
592,-65082.66237966239,-255917.7329037703
593,-56798.93718737253,-255681.8571320845
594,-43899.28079845138,-250767.47877188155
595,-26330.347464144623,-241068.93145954213
596,-4358.990243219872,-226700.9014983354
597,21623.16424633644,-207417.11257292316
598,50852.61655734587,-183250.45505828704
599,118817.12676086779,-46864.01313258025
600,108839.80692526698,-51267.355316842375
601,100940.36892065872,-54137.94581572243
602,96181.07873009253,-54922.96939285996
603,93582.72822487148,-55415.8388705221
604,92598.37548930546,-70950.8539066947
605,164360.68783844457,52955.52907362728
606,111557.35493469937,-47395.469955534274
607,30910.85893756477,-141186.86523521275
608,-1827.6856388566957,-173994.549015765
609,-25704.646159764117,-199106.0621740071
610,-42389.80325061135,-219004.6213221813
611,-53167.00021160663,-234678.6079367273
612,-59166.27436676258,-246617.7647671389
613,-60970.58491794641,-254846.38418853324
614,-58231.87552519853,-258842.30780902063
615,-50847.69309151026,-258260.97134504968
616,-38581.569430472795,-252811.86936102115
617,-18.138258796025184,-227198.308269197
618,25426.620705867826,-207122.45530701842
619,53895.66852738415,-182206.4667642356
620,140422.77268752223,-8151.681389398538
621,131062.4327757061,-13552.313861535935
622,121863.08163516424,-20214.47872202962
623,114067.36988413546,-27688.248402352205
624,173930.6938464117,53274.78597358695
625,165886.44728446155,30754.53626814921
626,151016.61859469945,-2121.0220345068083
627,125758.7634880326,-45585.134460341746
628,52851.59928973304,-137255.3578876694
629,20872.67512970735,-171081.48154845223
630,-5854.504928412614,-198512.73785224004
631,-25182.295739648674,-219631.75403959246
632,-38500.601375318,-235969.15199288854
633,-46726.710327757144,-248168.9500838991
634,-50300.012999050785,-256355.21252653725
635,-48993.000566956005,-260113.9391410614
636,31492.98526794568,-204460.62200554085
637,154470.55953050946,24916.17263110815
638,144718.76316668058,16174.430880684304
639,183833.28539731115,50323.85691430651
640,175367.17776658136,26025.89719855682
641,160599.8039943205,-7244.102928468783
642,137560.82722503901,-48266.84001393303
643,72196.8596202535,-134954.44114839358
644,40977.413836846565,-169273.21066546565
645,14627.648221655778,-196829.2343467512
646,-6222.4415730527835,-218662.05273738105
647,-21443.911583138397,-235400.7678471696
648,-31521.160610418126,-247664.36901535915
649,-36827.17581982423,-255715.21154732048
650,-36956.06622004106,-259120.89234874904
651,151287.524001871,31665.630155182786
652,146302.48507505155,-55703.08446876668
653,88443.31431184447,-134877.47155406539
654,60164.57801467778,-167255.77096236794
655,14161.081485098053,-215699.04813374113
656,-1857.3791352383414,-232269.28318879573
657,-13085.323720218468,-244270.14659382406
658,-19734.40107950229,-251996.25505366013
659,-21153.415681027443,-254941.57150492398
660,9340.832543827259,-237021.1690962453
661,1931.7330161724967,-244191.00907805713
662,-541.2845016619394,-246600.51866880857
