crev_maps,temp_maps,temp_model,viscosity,strain_experiments,correlation,error
all,JJA,CARRA,1,Exp8,Exponential,0.059206
all,JJA,CARRA,1,Exp9,Exponential,0.057956
Riley,all,RACMO,0,Exp0,Gaussian,0.061736
Riley,all,RACMO,0,Exp1,Gaussian,0.061844
Riley,all,RACMO,0,Exp2,Gaussian,0.061034
Riley,all,RACMO,0,Exp3,Gaussian,0.059367
Riley,all,RACMO,0,Exp4,Gaussian,0.059527
Riley,all,RACMO,0,Exp5,Gaussian,0.059974
Riley,all,RACMO,0,Exp6,Gaussian,0.062160
Riley,all,RACMO,0,Exp7,Gaussian,0.060178
Riley,all,RACMO,0,Exp8,Gaussian,0.061374
Riley,all,RACMO,0,Exp9,Gaussian,0.060788
Riley,all,RACMO,0,Exp0,Exponential,0.060685
Riley,all,RACMO,0,Exp1,Exponential,0.061499
Riley,all,RACMO,0,Exp2,Exponential,0.061615
Riley,all,RACMO,0,Exp3,Exponential,0.059337
Riley,all,RACMO,0,Exp4,Exponential,0.061850
Riley,all,RACMO,0,Exp5,Exponential,0.063602
Riley,all,RACMO,0,Exp6,Exponential,0.059924
Riley,all,RACMO,0,Exp7,Exponential,0.060131
Riley,all,RACMO,0,Exp8,Exponential,0.063287
Riley,all,RACMO,0,Exp9,Exponential,0.060302
Riley,all,RACMO,1,Exp0,Gaussian,0.094231
Riley,all,RACMO,1,Exp1,Gaussian,0.091829
Riley,all,RACMO,1,Exp2,Gaussian,0.093903
Riley,all,RACMO,1,Exp3,Gaussian,0.092157
Riley,all,RACMO,1,Exp4,Gaussian,0.091324
Riley,all,RACMO,1,Exp5,Gaussian,0.091462
Riley,all,RACMO,1,Exp6,Gaussian,0.092066
Riley,all,RACMO,1,Exp7,Gaussian,0.092204
Riley,all,RACMO,1,Exp8,Gaussian,0.091980
Riley,all,RACMO,1,Exp9,Gaussian,0.093375
Riley,all,RACMO,1,Exp0,Exponential,0.091246
Riley,all,RACMO,1,Exp1,Exponential,0.090219
Riley,all,RACMO,1,Exp2,Exponential,0.093860
Riley,all,RACMO,1,Exp3,Exponential,0.091560
Riley,all,RACMO,1,Exp4,Exponential,0.091985
Riley,all,RACMO,1,Exp5,Exponential,0.093342
Riley,all,RACMO,1,Exp6,Exponential,0.092110
Riley,all,RACMO,1,Exp7,Exponential,0.091832
Riley,all,RACMO,1,Exp8,Exponential,0.091780
Riley,all,RACMO,1,Exp9,Exponential,0.091823
Riley,all,MAR,0,Exp0,Gaussian,0.086641
Riley,all,MAR,0,Exp1,Gaussian,0.083906
Riley,all,MAR,0,Exp2,Gaussian,0.085957
Riley,all,MAR,0,Exp3,Gaussian,0.083323
Riley,all,MAR,0,Exp4,Gaussian,0.083940
Riley,all,MAR,0,Exp5,Gaussian,0.084484
Riley,all,MAR,0,Exp6,Gaussian,0.084307
Riley,all,MAR,0,Exp7,Gaussian,0.084617
Riley,all,MAR,0,Exp8,Gaussian,0.086505
Riley,all,MAR,0,Exp9,Gaussian,0.084076
Riley,all,MAR,0,Exp0,Exponential,0.085114
Riley,all,MAR,0,Exp1,Exponential,0.084285
Riley,all,MAR,0,Exp2,Exponential,0.084541
Riley,all,MAR,0,Exp3,Exponential,0.084392
Riley,all,MAR,0,Exp4,Exponential,0.085324
Riley,all,MAR,0,Exp5,Exponential,0.086045
Riley,all,MAR,0,Exp6,Exponential,0.085750
Riley,all,MAR,0,Exp7,Exponential,0.084520
Riley,all,MAR,0,Exp8,Exponential,0.083042
Riley,all,MAR,0,Exp9,Exponential,0.083420
Riley,all,MAR,1,Exp0,Gaussian,0.112763
Riley,all,MAR,1,Exp1,Gaussian,0.112408
Riley,all,MAR,1,Exp2,Gaussian,0.116232
Riley,all,MAR,1,Exp3,Gaussian,0.114987
Riley,all,MAR,1,Exp4,Gaussian,0.111508
Riley,all,MAR,1,Exp5,Gaussian,0.113872
Riley,all,MAR,1,Exp6,Gaussian,0.112651
Riley,all,MAR,1,Exp7,Gaussian,0.112216
Riley,all,MAR,1,Exp8,Gaussian,0.117549
Riley,all,MAR,1,Exp9,Gaussian,0.113954
Riley,all,MAR,1,Exp0,Exponential,0.113985
Riley,all,MAR,1,Exp1,Exponential,0.111549
Riley,all,MAR,1,Exp2,Exponential,0.114710
Riley,all,MAR,1,Exp3,Exponential,0.113809
Riley,all,MAR,1,Exp4,Exponential,0.112778
Riley,all,MAR,1,Exp5,Exponential,0.113995
Riley,all,MAR,1,Exp6,Exponential,0.115442
Riley,all,MAR,1,Exp7,Exponential,0.111914
Riley,all,MAR,1,Exp8,Exponential,0.109887
Riley,all,MAR,1,Exp9,Exponential,0.110506
Riley,all,CARRA,0,Exp0,Gaussian,0.093927
Riley,all,CARRA,0,Exp1,Gaussian,0.094723
Riley,all,CARRA,0,Exp2,Gaussian,0.097043
Riley,all,CARRA,0,Exp3,Gaussian,0.092167
Riley,all,CARRA,0,Exp4,Gaussian,0.094632
Riley,all,CARRA,0,Exp5,Gaussian,0.095328
Riley,all,CARRA,0,Exp6,Gaussian,0.096325
Riley,all,CARRA,0,Exp7,Gaussian,0.096062
Riley,all,CARRA,0,Exp8,Gaussian,0.095272
Riley,all,CARRA,0,Exp9,Gaussian,0.094354
Riley,all,CARRA,0,Exp0,Exponential,0.094525
Riley,all,CARRA,0,Exp1,Exponential,0.093437
Riley,all,CARRA,0,Exp2,Exponential,0.095489
Riley,all,CARRA,0,Exp3,Exponential,0.095853
Riley,all,CARRA,0,Exp4,Exponential,0.095126
Riley,all,CARRA,0,Exp5,Exponential,0.096846
Riley,all,CARRA,0,Exp6,Exponential,0.093824
Riley,all,CARRA,0,Exp7,Exponential,0.094484
Riley,all,CARRA,0,Exp8,Exponential,0.093270
Riley,all,CARRA,0,Exp9,Exponential,0.095044
Riley,all,CARRA,1,Exp0,Gaussian,0.149011
Riley,all,CARRA,1,Exp1,Gaussian,0.149062
Riley,all,CARRA,1,Exp2,Gaussian,0.154637
Riley,all,CARRA,1,Exp3,Gaussian,0.145882
Riley,all,CARRA,1,Exp4,Gaussian,0.153429
Riley,all,CARRA,1,Exp5,Gaussian,0.149962
Riley,all,CARRA,1,Exp6,Gaussian,0.149139
Riley,all,CARRA,1,Exp7,Gaussian,0.150281
Riley,all,CARRA,1,Exp8,Gaussian,0.150780
Riley,all,CARRA,1,Exp9,Gaussian,0.149953
Riley,all,CARRA,1,Exp0,Exponential,0.147867
Riley,all,CARRA,1,Exp1,Exponential,0.148604
Riley,all,CARRA,1,Exp2,Exponential,0.151091
Riley,all,CARRA,1,Exp3,Exponential,0.149329
Riley,all,CARRA,1,Exp4,Exponential,0.150206
Riley,all,CARRA,1,Exp5,Exponential,0.150196
Riley,all,CARRA,1,Exp6,Exponential,0.149710
Riley,all,CARRA,1,Exp7,Exponential,0.148656
Riley,all,CARRA,1,Exp8,Exponential,0.147405
Riley,all,CARRA,1,Exp9,Exponential,0.148585
IE,all,RACMO,0,Exp0,Gaussian,0.059424
IE,all,RACMO,0,Exp1,Gaussian,0.059590
IE,all,RACMO,0,Exp2,Gaussian,0.060519
IE,all,RACMO,0,Exp3,Gaussian,0.058599
IE,all,RACMO,0,Exp4,Gaussian,0.059951
IE,all,RACMO,0,Exp5,Gaussian,0.059384
IE,all,RACMO,0,Exp6,Gaussian,0.062615
IE,all,RACMO,0,Exp7,Gaussian,0.057503
IE,all,RACMO,0,Exp8,Gaussian,0.057372
